Id	Name	Type	HP	Attack	Defense	SpAttack	SpDefense	Speed
1	Bulbasaur	grass/poison	45	49	49	65	65	45
2	Ivysaur	grass/poison	60	62	63	80	80	60
3	Venusaur	grass/poison	80	82	83	100	100	80
4	Charmander	fire	39	52	43	60	50	65
5	Charmeleon	fire	58	64	58	80	65	80
6	Charizard	fire/flying	78	84	78	109	85	100
7	Squirtle	water	44	48	65	50	64	43
8	Wartortle	water	59	63	80	65	80	58
9	Blastoise	water	79	83	100	85	105	78
10	Caterpie	bug	45	30	35	20	20	45
11	Metapod	bug	50	20	55	25	25	30
12	Butterfree	bug/flying	60	45	50	80	80	70
25	Pikachu	electric	35	55	40	50	50	90
150	Mewtwo	psychic	106	110	90	154	90	130
